"COMPbase","2013-03-25232841","pauligiraldo"
"Glycolate; Glycolic acid; Hydroxyacetic acid","cpd:C00160","ko00361;ko00625;ko00630;ko01100;ko01110;ko01120"
"2-Oxo acid; 2-Oxocarboxylate","cpd:C00161",""
"Fatty acid","cpd:C00162","ko00062;ko00071;ko00561;ko04911;ko04920;ko04930;ko04975;ko04977"
"Propanoate; Propionate; Propanoic acid; Propionic acid","cpd:C00163","ko00640;ko00642;ko00760;ko01100;ko01120;ko01220;ko04973;ko04974"
"Acetoacetate; 3-Oxobutanoic acid; beta-Ketobutyric acid; Acetoacetic acid","cpd:C00164","ko00072;ko00280;ko00350;ko00640;ko00643;ko00650;ko01100;ko01120;ko02020"
"Diacylglycerol; Diglyceride","cpd:C00165","ko04010;ko04012;ko04020;ko04062;ko04064;ko04066;ko04070;ko04270;ko04370;ko04540;ko04650;ko04660;ko04662;ko04664;ko04666;ko04713;ko04720;ko04722;ko04723;ko04724;ko04725;ko04726;ko04728;ko04730;ko04745;ko04911;ko04912;ko04916;ko04920;ko04961;ko04970;ko04971;ko04972;ko04973;ko04975;ko05110;ko05143;ko05146;ko05200;ko05214;ko05223"
"Phenylpyruvate; Phenylpyruvic acid; alpha-Ketohydrocinnamic acid; keto-Phenylpyruvate; 3-Phenyl-2-oxopropanoate","cpd:C00166","ko00360;ko00400;ko00960;map01060;ko01100;ko01110;ko01210"
"UDP-glucuronate; UDPglucuronate; UDP-D-glucuronate; UDP-alpha-D-glucuronate","cpd:C00167","ko00040;ko00053;ko00500;ko00520;ko01100;ko01110"
"Hydroxypyruvate; Hydroxypyruvic acid; 3-Hydroxypyruvate; 3-Hydroxypyruvic acid","cpd:C00168","ko00260;ko00630;ko00680;ko01100;ko01110;ko01120"
"Carbamoyl phosphate","cpd:C00169","ko00230;ko00240;ko00250;ko00330;ko00910;ko01100;ko01120"
"5'-Methylthioadenosine; Methylthioadenosine; S-Methyl-5'-thioadenosine; 5-Methylthioadenosine; 5'-Deoxy-5'-(methylthio)adenosine; Thiomethyladenosine; MTA","cpd:C00170","ko00270;ko00908;map01060;ko01100"
"5'-Phosphomononucleotide; 5'-Nucleotide","cpd:C00171",""
"3'-Phosphooligonucleotide","cpd:C00172",""
"Acyl-[acyl-carrier protein]; Long-chain-acyl-[acyl-carrier protein]","cpd:C00173","ko00071;ko00780;ko01100"
"Acid","cpd:C00174",""
"Cobalt ion; Cobalt(2+); Co2+; Co(II)","cpd:C00175","ko02010"
"Flavin","cpd:C00176",""
"Cyanide; Prussiate; CN-; Cyano","cpd:C00177","ko00460;ko01100;ko01110"
"Thymine; 5-Methyluracil","cpd:C00178","ko00240;ko01100"
"Agmatine; (4-Aminobutyl) guanidine","cpd:C00179","ko00330;ko01100"
"Benzoate; Benzoic acid; Benzenecarboxylic acid; Phenylformic acid; Dracylic acid","cpd:C00180","ko00360;ko00362;ko00621;ko00623;ko00627;map01063;ko01100;ko01110;ko01120;ko01220"
"D-Xylose; Wood sugar","cpd:C00181","ko00040;ko00500;ko00520;ko01100;ko02010"
"Glycogen","cpd:C00182",""
"L-Valine; 2-Amino-3-methylbutyric acid","cpd:C00183","ko00280;ko00290;ko00311;ko00460;ko00640;ko00770;ko00966;ko00970;map01060;map01063;ko01100;ko01110;ko01210;ko02010;ko04974;ko04978"
"Glycerone; Dihydroxyacetone; 1,3-Dihydroxyacetone; 1,3-Dihydroxy-2-propanone; 1,3-Dihydroxypropan-2-one","cpd:C00184","ko00561;ko00680;ko01100;ko01120"
"Cellobiose; 1-beta-D-Glucopyranosyl-4-D-glucopyranose","cpd:C00185","ko00500;ko01100;ko02010;ko02060"
"(S)-Lactate; L-Lactate; L-Lactic acid","cpd:C00186","ko00010;ko00620;ko00640;ko00643;ko01100;ko01110;ko01120;ko04066"
"Cholesterol; Cholest-5-en-3beta-ol","cpd:C00187","ko00100;ko00120;ko00140;ko00981;ko00984;map01066;ko01100;ko01110;ko04340;ko04975;ko04976;ko04977;ko05200;ko05217"
"L-Threonine; 2-Amino-3-hydroxybutyric acid","cpd:C00188","ko00260;ko00290;ko00860;ko00970;map01060;ko01100;ko01110;ko01120;ko02010;ko04974;ko04978"
"Ethanolamine; Aminoethanol; 2-Hydroxyethylamine","cpd:C00189","ko00440;ko00564;ko01100;ko04723"
"UDP-D-xylose; UDP-xylose; UDP-alpha-D-xylose","cpd:C00190","ko00500;ko00520;ko00908;ko01100;ko01110"
"D-Glucuronate; Glucuronic acid; Glucuronate","cpd:C00191","ko00040;ko00053;ko00500;ko00520;ko00562;ko01100"
"Hydroxylamine","cpd:C00192","ko00910;ko01120"
"Aromatic aldehyde","cpd:C00193",""
"Cobamide coenzyme; Adenosylcobalamin; Adenosylcob(III)alamin; Deoxyadenosylcobalamin; Cobamamide; Vitamin B12 coenzyme; 5,6-Dimethylbenzimidazolyl-5-deoxyadenosyl-cobamide; (5'-Deoxy-5'-adenosyl)cobamide coenzyme; (5,6-Dimethylbenzimidazolyl)cobamide coenzyme; alpha-(5,6-Dimethylbenzimidazolyl)cobamide coenzyme; 5'-Deoxy-5'-adenosylcobalamin; 5'-Deoxy-5'-adenosyl vitamin B12; 5'-Deoxy-5'-adenosyl-5,6-dimethylbenzimidazolylcobamide; 5,6-Dimethylbenzimidazolyl-Co-5'-deoxy-5'-adenosylcobamide; Calomide; Cobalamin coenzyme; Coenzyme B12; DMBC coenzyme; Dibencozide; Funacomide","cpd:C00194","ko00860;ko01100"
"N-Acylsphingosine; Ceramide","cpd:C00195","ko00600;ko01100;ko04722;ko04920;ko05140"
"2,3-Dihydroxybenzoate; 2,3-Dihydroxybenzoic acid","cpd:C00196","ko00362;ko00627;ko01053;map01061;ko01110;ko01120"
"3-Phospho-D-glycerate; D-Glycerate 3-phosphate; 3-Phospho-(R)-glycerate; 3-Phosphoglycerate","cpd:C00197","ko00010;ko00260;ko00561;ko00630;ko00680;ko00710;map01060;map01061;map01062;map01063;map01064;map01065;map01066;map01070;ko01100;ko01110;ko01120"
"D-Glucono-1,5-lactone; Gluconic lactone; Gluconic acid lactone; 1,5-Gluconolactone; delta-Gluconolactone; D-Gluconolactone; Gluconolactone","cpd:C00198","ko00030;ko01100;ko01110;ko01120"
"D-Ribulose 5-phosphate","cpd:C00199","ko00030;ko00040;ko00680;ko00710;ko00740;ko00750;ko01100;ko01110;ko01120"
"Phenazine methosulfate; N-Methylphenazonium methosulfate; 5-Methylphenazinium methyl sulphate","cpd:C00200",""
"Nucleoside triphosphate; NTP","cpd:C00201","ko03018"
"Isoflurophate; Diisopropyl fluorophosphate; DFP","cpd:C00202",""
"UDP-N-acetyl-D-galactosamine; UDP-N-acetyl-alpha-D-galactosamine","cpd:C00203","ko00520;ko01100"
"2-Dehydro-3-deoxy-D-gluconate; 2-Keto-3-deoxy-D-gluconate","cpd:C00204","ko00030;ko00040;ko01100;ko01120"
"hn; Light; Photon; hnu","cpd:C00205",""
"dADP; 2'-Deoxyadenosine 5'-diphosphate","cpd:C00206","ko00230;ko01100"
"Acetone; Dimethyl ketone; 2-Propanone","cpd:C00207","ko00072;ko00640;ko01100"
"Maltose; Malt sugar; alpha-D-Glucopyranosyl-(1->4)-D-glucopyranose","cpd:C00208","ko00500;ko01100;ko02010;ko02030;ko02060;ko04973"
"Oxalate; Oxalic acid; Ethanedioic acid","cpd:C00209","ko00625;ko00630;ko01100;ko01120"
"Cobamide","cpd:C00210",""
"Collagen","cpd:C00211",""
"Adenosine","cpd:C00212","ko00230;ko01100;ko04080;ko04270;ko05032;ko05034"
"Sarcosine; N-Methylglycine","cpd:C00213","ko00260;ko00330;ko01100"
"Thymidine; Deoxythymidine","cpd:C00214","ko00240;ko01100"
"Nucleotide","cpd:C00215",""
"D-Arabinose","cpd:C00216",""
"D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid","cpd:C00217","ko00471;ko00750;ko01100"
"Methylamine; Methanamine","cpd:C00218","ko00680;ko01120"
"Arachidonate; Arachidonic acid; (5Z,8Z,11Z,14Z)-Icosatetraenoic acid; cis-5,8,11,14-Eicosatetraenoic acid","cpd:C00219","ko00590;ko00591;ko01040;ko01100;ko04270;ko04664;ko04666;ko04723;ko04726;ko04730;ko04745;ko04912;ko05140;ko05146;map07034"
"Methylene blue; Methylthioninium chloride","cpd:C00220",""
"beta-D-Glucose","cpd:C00221","ko00010;ko00030;ko00500;ko01100;ko01110;ko01120"
"3-Oxopropanoate; Malonate semialdehyde","cpd:C00222","ko00240;ko00410;ko00562;ko00625;ko00640;ko00720;ko01100;ko01120"
"p-Coumaroyl-CoA; 4-Coumaroyl-CoA; 4-Hydroxycinnamoyl-CoA","cpd:C00223","ko00130;ko00330;ko00360;ko00940;ko00941;ko00945;map01061;ko01100;ko01110"
"Adenylyl sulfate; Adenosine 5'-phosphosulfate; APS; 5'-Adenylyl sulfate","cpd:C00224","ko00230;ko00920;ko01100;ko01120"
"Methyl viologen; Paraquat dichloride; 1,1'-Dimethyl-4,4'-bipyridinium dichloride","cpd:C00225",""
"Primary alcohol; 1-Alcohol","cpd:C00226","ko00071;ko00073"
"Acetyl phosphate","cpd:C00227","ko00430;ko00620;ko00680;ko00720;ko01100;ko01120"
"Acyl-carrier protein; ACP; [Acyl-carrier protein]; Holo-[acyl-carrier protein]","cpd:C00229","ko00061;ko00071;ko00524;ko00540;ko00770;ko01110"
"3,4-Dihydroxybenzoate; 3,4-Dihydroxybenzoic acid; Protocatechuate; Protocatechuic acid","cpd:C00230","ko00362;ko00400;ko00623;ko00624;ko00627;map01061;ko01100;ko01110;ko01120"
"D-Xylulose 5-phosphate","cpd:C00231","ko00030;ko00040;ko00053;ko00680;ko00710;ko01100;ko01110;ko01120"
"Succinate semialdehyde; Succinic semialdehyde; 4-Oxobutanoate","cpd:C00232","ko00250;ko00350;ko00650;ko00720;ko00750;ko00760;ko01100;ko01120"
"4-Methyl-2-oxopentanoate; 2-Oxoisocaproate","cpd:C00233","ko00280;ko00290;ko00966;ko01100;ko01110;ko01210"
"10-Formyltetrahydrofolate; 10-Formyl-THF","cpd:C00234","ko00670;ko00720;ko00970;ko01100;ko01120"
"Dimethylallyl diphosphate; 2-Isopentenyl diphosphate; delta2-Isopentenyl diphosphate; Dimethylallyl pyrophosphate; DMAPP; Monoprenyl diphosphate; Prenyl diphosphate","cpd:C00235","ko00900;ko00908;map01060;map01062;map01070;ko01100;ko01110"
"3-Phospho-D-glyceroyl phosphate; 1,3-Bisphospho-D-glycerate; (R)-2-Hydroxy-3-(phosphonooxy)-1-monoanhydride with phosphoric propanoic acid","cpd:C00236","ko00010;ko00710;map01060;map01061;map01062;map01063;ko01100;ko01110;ko01120"
"CO; Carbon monoxide","cpd:C00237","ko00625;ko00680;ko01120"
"Potassium cation; K+; Potassium(1+); Potassium ion","cpd:C00238","ko02020;ko04260;ko04270;ko04713;ko04723;ko04724;ko04725;ko04726;ko04727;ko04728;ko04742;ko04744;ko04911;ko04930;ko04960;ko04961;ko04964;ko04966;ko04970;ko04971;ko04972;ko04973;ko04974;ko04976;ko04978;ko05032;ko05110;ko05133;ko05166"
"dCMP; Deoxycytidylic acid; Deoxycytidine monophosphate; Deoxycytidylate; 2'-Deoxycytidine 5'-monophosphate","cpd:C00239","ko00240;ko01100"
"rRNA; Ribosomal RNA","cpd:C00240",""
"Amide","cpd:C00241",""
"Guanine; 2-Amino-6-hydroxypurine","cpd:C00242","ko00230;ko01100"
"Lactose; 1-beta-D-Galactopyranosyl-4-D-glucopyranose; beta-D-Gal-(1->4)-D-Glc; Milk sugar","cpd:C00243","ko00052;ko01100;ko02010;ko02060;ko04973"
"Nitrate; Nitric acid","cpd:C00244","ko00910;ko01120;ko02010;ko02020"
"Taurine; 2-Aminoethanesulfonic acid; Aminoethylsulfonic acid","cpd:C00245","ko00120;ko00430;ko01100;ko02010;ko04080"
"Butanoic acid; Butanoate; Butyrate; Butyric acid","cpd:C00246","ko00650;ko01100;ko04973;ko04974"
"L-Sorbose; L-xylo-Hexulose","cpd:C00247","ko00051"
"Lipoamide; Thioctic acid amide","cpd:C00248",""
"Hexadecanoic acid; Hexadecanoate; Hexadecylic acid; Palmitic acid; Palmitate; Cetylic acid","cpd:C00249","ko00061;ko00062;ko00071;ko00073;ko01040;map01060;ko01100"
"Pyridoxal","cpd:C00250","ko00750;ko01100;ko04977"
"Chorismate; Chorismic acid","cpd:C00251","ko00130;ko00400;ko00790;ko01053;map01060;map01061;map01063;map01070;ko01100;ko01110"
"Isomaltose; Brachiose","cpd:C00252","ko00500"
"Nicotinate; Nicotinic acid; Niacin; 3-Pyridinecarboxylic acid","cpd:C00253","ko00760;ko00960;map01060;map01064;ko01100;ko01110;ko05133"
"Prephenate; Prephenic acid","cpd:C00254","ko00400;ko00401;map01060;map01061;map01063;ko01100;ko01110"
"Riboflavin; Lactoflavin; 7,8-Dimethyl-10-ribitylisoalloxazine; Vitamin B2","cpd:C00255","ko00740;ko01100;ko04977"
"(R)-Lactate; D-Lactate; D-Lactic acid; D-2-Hydroxypropanoic acid; D-2-Hydroxypropionic acid","cpd:C00256","ko00620"
"D-Gluconic acid; D-Gluconate; D-gluco-Hexonic acid","cpd:C00257","ko00030;ko01100;ko01110;ko01120"
"D-Glycerate; Glycerate; (R)-Glycerate; Glyceric acid","cpd:C00258","ko00030;ko00260;ko00561;ko00630;ko00680;ko01100;ko01110;ko01120"
"L-Arabinose; L-Arabinopyranose","cpd:C00259","ko00040;ko00053;ko00520;ko01100;ko01110;ko02010"
"Benzaldehyde; Benzoic aldehyde","cpd:C00261","ko00623;ko00627;ko01120;ko01220"
"Hypoxanthine; Purine-6-ol","cpd:C00262","ko00230;ko01100"
"L-Homoserine; 2-Amino-4-hydroxybutyric acid","cpd:C00263","ko00260;ko00270;ko00300;ko00920;ko01100;ko01110;ko01120"
"3-Oxoacyl-CoA","cpd:C00264","ko00062;ko01110"
"Dithiothreitol; 1,4-Dithiothreitol; threo-1,4-Dimercapto-2,3-butanediol; DL-threo-1,4-Dimercapto-2,3-butanediol","cpd:C00265",""
"Glycolaldehyde; Hydroxyacetaldehyde","cpd:C00266","ko00040;ko00630;ko00750;ko00790;ko01100;ko01120"
"alpha-D-Glucose","cpd:C00267","ko00010;ko00051;ko00052;ko00500;ko00520;map01060;map01061;map01062;map01063;map01064;map01065;map01066;map01070;ko01100;ko01110;ko01120;ko04964"
"Dihydrobiopterin; 6,7-Dihydrobiopterin; Quinoid-dihydrobiopterin; (6R)-6-(L-erythro-1,2-Dihydroxypropyl)-7,8-dihydro-6H-pterin","cpd:C00268","ko00790;ko01100"
"CDP-diacylglycerol; CDP-1,2-diacylglycerol; 1,2-Diacyl-sn-glycero-3-cytidine-5'-diphosphate","cpd:C00269","ko00564;ko01100;ko04070"
"N-Acetylneuraminate; N-Acetylneuraminic acid; 5-Acetamido-3,5-dideoxy-D-glycero-D-galacto-2-nonulosonic acid; Neu5Ac","cpd:C00270","ko00520;ko01100;ko01110"
"Tetrahydrobiopterin; 5,6,7,8-Tetrahydrobiopterin; 2-Amino-6-(1,2-dihydroxypropyl)-5,6,7,8-tetrahydoro-4(1H)-pteridinone; L-erythro-Tetrahydrobiopterin","cpd:C00272","ko00790;ko01100"
"5-Dehydro-D-fructose","cpd:C00273",""
"D-Mannose 6-phosphate","cpd:C00275","ko00051;ko00520;ko01100;ko01110;ko02060;ko04142"
"D-Erythrose 4-phosphate","cpd:C00279","ko00030;ko00400;ko00710;ko00750;map01060;map01061;map01063;map01070;ko01100;ko01110;ko01120"
"Androstenedione; Androst-4-ene-3,17-dione; 4-Androstene-3,17-dione","cpd:C00280","ko00140;ko00984;ko01100;ko01120;ko05200;ko05215"
"Hydrogen; H2","cpd:C00282","ko00680;ko04973;ko04974"
"Hydrogen sulfide; Hydrogen-sulfide; H2S; Sulfide","cpd:C00283","ko00270;ko00920;ko01100;ko01120"
"EDTA; Ethylenediaminetetraacetic acid; Edetic acid","cpd:C00284",""
"dGTP; 2'-Deoxyguanosine 5'-triphosphate; Deoxyguanosine 5'-triphosphate; Deoxyguanosine triphosphate","cpd:C00286","ko00230;ko01100"
"HCO3-; Bicarbonate; Hydrogencarbonate; Acid carbonate","cpd:C00288","ko00720;ko02010;ko04113;ko04964;ko04966;ko04970;ko04971;ko04972;ko04976;ko04978"
"Fibrin","cpd:C00290","ko04610"
"Nickel","cpd:C00291","ko02010;ko02020"
"Aniline; Phenylamine; Benzenamine; Arylamine","cpd:C00292","ko00627;ko01120"
"Inosine","cpd:C00294","ko00230;ko01100"
"Orotate; Orotic acid; Uracil-6-carboxylic acid","cpd:C00295","ko00240;ko01100"
"Quinate; Quinic acid; Kinic acid; Chinic acid; L-Quinic acid; L-Quinate; (-)-Quinic acid","cpd:C00296","ko00400"
"Sulfide; Thioether","cpd:C00297",""
"Trypsin; Trypsin crystallized","cpd:C00298",""
"Uridine","cpd:C00299","ko00240;ko01100"
"Creatine; alpha-Methylguanidino acetic acid; Methylglycocyamine","cpd:C00300","ko00260;ko00330;ko01100"
"ADP-ribose; ADP-D-ribose; Adenosine diphosphate ribose","cpd:C00301","ko00230"
"DL-Glutamate; DL-Glutaminic acid; 2-Aminoglutaric acid; Glutamate; Glutamic acid","cpd:C00302","ko00460"
"Glutamine; 2-Aminoglutaramic acid","cpd:C00303",""
"Kanamycin","cpd:C00304",""
"Magnesium cation; Mg2+; Magnesium(2+); Magnesium ion","cpd:C00305","ko02020;ko04720;ko04744;ko04978"
"Bradykinin","cpd:C00306","ko04080;ko04610;ko04810;ko05142;ko05143"
"CDP-choline; Cytidine 5'-diphosphocholine; Citicoline","cpd:C00307","ko00564;ko01100"
"Canavanine; L-Canavanine; 2-Amino-4-(guanidinooxy)butyric acid","cpd:C00308",""
"D-Ribulose; D-erythro-2-Pentulose; D-Arabinoketose; D-Arabinulose; D-Riboketose","cpd:C00309","ko00040;ko01100"
"D-Xylulose; D-threo-Pentulose; D-Lyxulose","cpd:C00310","ko00040;ko01100"
"Isocitrate; Isocitric acid; 1-Hydroxytricarballylic acid; 1-Hydroxypropane-1,2,3-tricarboxylic acid","cpd:C00311","ko00020;ko00630;ko00720;map01060;map01061;map01062;map01063;map01064;map01065;map01066;map01070;ko01100;ko01110;ko01120;ko01210"
"L-Xylulose; L-threo-Pentulose; L-Lyxulose","cpd:C00312","ko00040;ko01100"
"Oxalyl-CoA","cpd:C00313","ko00630;ko01100"
"Pyridoxine; Pyridoxol","cpd:C00314","ko00750;ko01100"
"Spermidine; N-(3-Aminopropyl)-1,4-butane-diamine","cpd:C00315","ko00330;ko00410;ko00480;ko00940;ko01100;ko02010;ko04976"
"Amylopectin","cpd:C00317",""
"L-Carnitine; L-gamma-Trimethyl-beta-hydroxybutyrobetaine; Vitamin BT; 3-Carboxy-2-hydroxy-N,N,N-trimethyl-1-propanaminium hydroxide, inner salt; Levocarnitine; (R)-Carnitine","cpd:C00318","ko04976"
"Sphingosine; Sphingenine; Sphingoid; Sphing-4-enine","cpd:C00319","ko00600;ko01100"
"Thiosulfate; Hyposulfite","cpd:C00320","ko00270;ko00920;ko02010"
"2-Oxoadipate; 2-Oxoadipic acid","cpd:C00322","ko00300;ko00310;ko00380;ko01100;ko01210"
"Caffeoyl-CoA","cpd:C00323","ko00360;ko00940;ko00941;ko00945;map01061;map01063;ko01100;ko01110"
"Ferricyanide; Hexacyanoferrate(III)","cpd:C00324",""
"GDP-L-fucose; GDP-beta-L-fucose","cpd:C00325","ko00051;ko00520;ko01100"
"Glycoprotein","cpd:C00326",""
"L-Citrulline; 2-Amino-5-ureidovaleric acid; Citrulline","cpd:C00327","ko00330;ko01100;ko01110"
"L-Kynurenine; 3-Anthraniloyl-L-alanine","cpd:C00328","ko00380;ko01100;ko05143"
"D-Glucosamine; Chitosamine; 2-Amino-2-deoxy-D-glucose","cpd:C00329","ko00520;ko01110;ko02060"
"Deoxyguanosine; 2'-Deoxyguanosine","cpd:C00330","ko00230;ko01100"
"Indolepyruvate; Indolepyruvic acid; (Indol-3-yl)pyruvate; Indole-3-pyruvate; 3-(Indol-3-yl)pyruvate","cpd:C00331","ko00380;ko01100"
"Acetoacetyl-CoA; Acetoacetyl coenzyme A; 3-Acetoacetyl-CoA","cpd:C00332","ko00071;ko00072;ko00280;ko00310;ko00362;ko00380;ko00620;ko00630;ko00640;ko00650;ko00720;ko00900;ko01100;ko01110;ko01120"
"D-Galacturonate; D-Galacturonic acid","cpd:C00333","ko00040;ko00053;ko00500;ko00520;ko01100;ko02010"
"4-Aminobutanoate; 4-Aminobutanoic acid; 4-Aminobutyrate; 4-Aminobutyric acid; gamma-Aminobutyric acid; GABA","cpd:C00334","ko00250;ko00330;ko00410;ko00650;ko01100;ko04080;ko04721;ko04723;ko04727;ko05032;ko05033"
"(S)-Dihydroorotate; (S)-4,5-Dihydroorotate; L-Dihydroorotate; L-Dihydroorotic acid; Dihydro-L-orotic acid","cpd:C00337","ko00240;ko01100"
"Lipopolysaccharide; LPS","cpd:C00338","ko01100;ko02010;ko04010;ko04066;ko04810;ko05132;ko05133;ko05134;ko05152;ko05332"
"Long-chain alcohol","cpd:C00339",""
"Reduced rubredoxin","cpd:C00340","ko00071"
"Geranyl diphosphate","cpd:C00341","ko00130;ko00900;ko00902;map01060;map01062;map01066;map01070;ko01100;ko01110"
"Thioredoxin; Reduced thioredoxin","cpd:C00342","ko00240"
"Thioredoxin disulfide; Oxidized thioredoxin; Thioredoxin sulfide","cpd:C00343","ko00240"
"Phosphatidylglycerol; 3-(3-sn-Phosphatidyl)glycerol; 3(3-Phosphatidyl-)glycerol; PtdGro","cpd:C00344","ko00564;ko01100"
"6-Phospho-D-gluconate","cpd:C00345","ko00030;ko01100;ko01110;ko01120"
"Ethanolamine phosphate; O-Phosphorylethanolamine; Phosphoethanolamine; O-Phosphoethanolamine","cpd:C00346","ko00564;ko00600;ko01100"
"Long-chain carboxylate; Long-chain carboxylic acid","cpd:C00347",""
"all-trans-Undecaprenyl phosphate","cpd:C00348",""
"2-Methyl-3-oxopropanoate; 3-Oxo-2-methylpropanoate; Methylmalonate semialdehyde","cpd:C00349",""
"Phosphatidylethanolamine; (3-Phosphatidyl)ethanolamine; (3-Phosphatidyl)-ethanolamine; Cephalin; O-(1-beta-Acyl-2-acyl-sn-glycero-3-phospho)ethanolamine; 1-Acyl-2-acyl-sn-glycero-3-phosphoethanolamine; L-1-Phosphatidylethanolamine","cpd:C00350","ko00563;ko00564;ko01100;ko04140;ko04723;ko05130"
"5'-Phosphooligonucleotide","cpd:C00351",""
"D-Glucosamine 6-phosphate; D-Glucosamine phosphate","cpd:C00352","ko00250;ko00520;ko01100;ko01110;ko02060"
"Geranylgeranyl diphosphate; Geranylgeranyl pyrophosphate; all-trans-Geranylgeranyl diphosphate; all-trans-Geranylgeranyl pyrophosphate","cpd:C00353","ko00900;ko00904;ko00906;map01060;map01062;map01066;map01070;ko01100;ko01110"
"D-Fructose 1,6-bisphosphate","cpd:C00354","ko00400;ko00680;ko00710;ko01100;ko01120"
"3,4-Dihydroxy-L-phenylalanine; L-Dopa; 3-Hydroxy-L-tyrosine; L-beta-(3,4-Dihydroxyphenyl)alanine; Levodopa; Dihydroxy-L-phenylalanine","cpd:C00355","ko00350;ko00950;ko00965;map01060;map01063;ko01100;ko01110;ko04728;ko05012;ko05030;ko05031;ko05034"
"(S)-3-Hydroxy-3-methylglutaryl-CoA; Hydroxymethylglutaryl-CoA; Hydroxymethylglutaroyl coenzyme A; HMG-CoA; 3-Hydroxy-3-methylglutaryl-CoA","cpd:C00356","ko00072;ko00280;ko00650;ko00900;map01060;map01062;map01066;map01070;ko01100;ko01110;map07024"
"N-Acetyl-D-glucosamine 6-phosphate","cpd:C00357","ko00520;ko01110;ko02060"
"dAMP; 2'-Deoxyadenosine 5'-phosphate; 2'-Deoxyadenosine 5'-monophosphate; Deoxyadenylic acid; Deoxyadenosine monophosphate","cpd:C00360","ko00230;ko01100"
"dGDP; 2'-Deoxyguanosine 5'-diphosphate","cpd:C00361","ko00230;ko01100"
"dGMP; 2'-Deoxyguanosine 5'-monophosphate; 2'-Deoxyguanosine 5'-phosphate; Deoxyguanylic acid; Deoxyguanosine monophosphate","cpd:C00362","ko00230;ko01100"
"dTDP; Deoxythymidine 5'-diphosphate","cpd:C00363","ko00240;ko01100"
"dTMP; Thymidine 5'-phosphate; Deoxythymidine 5'-phosphate; Thymidylic acid; 5'-Thymidylic acid; Thymidine monophosphate; Deoxythymidylic acid; Thymidylate","cpd:C00364","ko00240;ko01100"
"dUMP; Deoxyuridylic acid; Deoxyuridine monophosphate; Deoxyuridine 5'-phosphate; 2'-Deoxyuridine 5'-phosphate","cpd:C00365","ko00240;ko01100"
"Urate; Uric acid","cpd:C00366","ko00230;ko01100;ko01120;ko04976"
"Casein","cpd:C00367",""
"Starch","cpd:C00369","ko00500;ko00710;ko01100;ko01110;ko04910;ko04973"
"Sterol","cpd:C00370",""
"Zeatin; N6-(4-Hydroxyisopentenyl)adenine; (E)-2-Methyl-4-(1H-purin-6-ylamino)but-2-en-1-ol; trans-Zeatin","cpd:C00371","ko00908;map01060;map01070;ko01100;ko01110;ko04075"
"Dextran; 1,6-alpha-D-Glucan; (1,6-alpha-D-Glucosyl)n; (1,6-alpha-D-Glucosyl)n+1; (1,6-alpha-D-Glucosyl)m; (1,6-alpha-D-Glucosyl)m+1; Dextran 40; Dextran 70; Dextran 75","cpd:C00372",""
"Elastin","cpd:C00373",""
"Heparin; Enoxaparin; Bemiparin","cpd:C00374","ko04664;ko05133"
"Primary amine; RCH2NH2","cpd:C00375",""
"Retinal; Vitamin A aldehyde; Retinene; all-trans-Retinal; all-trans-Vitamin A aldehyde; all-trans-Retinene","cpd:C00376","ko00830;ko01100;ko04744;ko04977"
"Steroid","cpd:C00377",""
"Thiamine; Thiamin; Vitamin B1; Aneurin; Antiberiberi factor","cpd:C00378","ko00730;ko01100;ko02010;ko04122;ko04977"
"Xylitol","cpd:C00379","ko00040;ko01100"
"Cytosine","cpd:C00380","ko00240;ko01100"
"Dolichol","cpd:C00381","ko00510;map01062;ko01100"
"Malonate; Malonic acid; Propanedioic acid","cpd:C00383","ko00240;ko00410"
"Neomycin","cpd:C00384",""
"Xanthine","cpd:C00385","ko00230;ko00232;map01060;map01065;ko01100;ko01110;ko01120"
"Carnosine; Nalpha-(beta-alanyl)-L-histidine","cpd:C00386","ko00340;ko00410;ko01100"
"Guanosine","cpd:C00387","ko00230;ko01100"
"Histamine; 1H-Imidazole-4-ethanamine; 2-(4-Imidazolyl)ethylamine","cpd:C00388","ko00340;map01065;ko01100;ko01110;ko04080;ko04664;ko04721;ko04971;ko04974;ko05310;map07227"
"Quercetin; 3,3',4,5,7-Pentahydroxyflavone; 3,5,7,3',4'-Pentahydroxyflavone","cpd:C00389","ko00941;ko00944;ko01100;ko01110"
"Ubiquinol; QH2; CoQH2","cpd:C00390","ko00190;ko00910;ko01100"
"Calmodulin","cpd:C00391",""
"Mannitol; D-Mannitol","cpd:C00392","ko00051;ko02010;ko02060"
